mutant name, is equivalent?, distinguished by
ROR_180, 0
ROR_181, 0
ROR_182, 0
ROR_183, 0
ROR_184, 0
ROR_185, 0
ROR_186, 0
ROR_187, 0
ROR_188, 0
ROR_189, 0
ROR_19, 0
ROR_190, 0
ROR_191, 0
ROR_192, 0
ROR_193, 0
ROR_194, 0
ROR_195, 0
ROR_196, 0
ROR_197, 0
ROR_198, 0
ROR_199, 0
ROR_20, 0
ROR_200, 0
ROR_201, 0
ROR_202, 0
ROR_203, 0
ROR_204, 0
ROR_205, 0
ROR_206, 0
ROR_207, 0
ROR_208, 0
ROR_209, 0
ROR_21, 0
ROR_210, 0
ROR_211, 0
ROR_212, 0
ROR_213, 0
ROR_214, 0
ROR_215, 0
ROR_216, 0
ROR_217, 0
ROR_218, 0
ROR_219, 0
ROR_22, 0
ROR_220, 0
ROR_221, 0
ROR_222, 0
ROR_223, 0
ROR_224, 0
ROR_225, 0
ROR_226, 0
ROR_227, 0
ROR_228, 0
ROR_229, 0
ROR_23, 0
ROR_230, 0
ROR_231, 0
ROR_232, 0
ROR_233, 0
ROR_234, 0
ROR_235, 0
ROR_236, 0
ROR_237, 0
ROR_238, 0
ROR_239, 0
ROR_24, 0
ROR_240, 0
ROR_241, 0
ROR_242, 0
ROR_243, 0
ROR_244, 0
ROR_245, 0
ROR_246, 0
ROR_247, 0
ROR_248, 0
ROR_249, 0
ROR_25, 0
ROR_250, 0
ROR_251, 0
ROR_252, 0
ROR_253, 0
ROR_254, 0
ROR_255, 0
ROR_256, 0
ROR_257, 0, [VVVVVVVVVVVV=0;VVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=1;VVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=1025]
ROR_258, 0, [VVVVVVV=1;VVVVVV=0;VV=1;V=1;VVVVV=1;VVVV=1;VVVVVVVVV=1;VVV=0;VVVVVVVV=0;VVVVVVVVVVVVVVVVVVVV=-512;VVVVVVVVVVVVVVVVVV=-511;VVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=-512]
ROR_259, 0, [VVVVVVVV=1;VVVVVVVVVVVV=2;VVVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=1024;VVV=0;VVVVVVVVV=0;VVVV=1;VVVVV=1;V=1;VV=1;VVVVVV=1;VVVVVVV=1]
ROR_26, 0, [VVVVVVVVVVVV=1;VVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVVV=-1024;VVVVVVVVVVVVVVVVVV=0;VVVVVVVV=-1;VVVVVVVVV=1;VVVVVVV=1;VVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVV=-1;VVVV=1]
ROR_260, 0, [VVVVVVVVV=0;VVVVVVV=0;VVVVVV=0;VVVVVVVV=1;VV=0;VVVVVVVVVVVVVVVVVVV=-32;VVVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=992;VVVVVVVVVVVV=-1024]
ROR_261, 0, [VVVVVVV=1;VVVVVV=0;VVVVV=1;VVVVVVVV=1;VVVVVVVVVVVVVVVVVVV=-632;VVVVVVVVVVVVVVVVVVVV=-916;VVVVVVVVVVVVVVVVVV=-135;VVVVVVVVVVVV=0;VVVVVVVVV=0;VVVV=1;V=1;VV=1]
ROR_262, 0, [VV=1;V=1;VVVVVVVVV=0;VVVVVVV=0;VVVVVV=0;VVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=-110;VVVVVVVVVVVVVVVVVVV=-914;VVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=0]
ROR_263, 0, [VV=0;VVVVVVVVV=1;VVVVVVV=1;VVVVVV=1;V=1;VVVVVVVV=0;VVVVVVVVVVVVVVVVVV=-169;VVVVVVVVVVVVVVVVVVV=-1;VVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVVV=1]
ROR_264, 0, [VV=0;V=0;VVVVVVVVV=1;VVVVVVV=1;VVVVVV=1;VVVVVVVV=0;VVVVVVVVVVVVVVVVVVVV=-1024;VVVVVVVVVVVVVVVVVVV=-423;VVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=23]
ROR_265, 0, [VV=0;VVVVVVVVV=1;VVVVVVV=1;VVVVVV=1;V=1;VVVVVVVV=0;VVVVVVVVVVVVVVVVVV=431;VVVVVVVVVVVVVVVVVVV=-625;VVVVVVVVVVVVVVVVVVVV=-400;VVVVVVVVVVVV=0]
ROR_266, 0, [VVVVVVVVV=1;VVVVVVV=1;VVVVVV=1;VVVVVVVV=0;VV=1;VVVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=-1024;VVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=980]
ROR_27, 0, [VVVVVVVV=-1;VVVVVVVVVVVVVVVVVVVV=-1024;VVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVV=-1;VVVVVVVVV=1;VVVV=1;VVVVVVV=1;VVVVVVVVVVVV=0]
ROR_28, 0, [VVVVVVVVVVVV=1;VVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=1025;VVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=0]
ROR_29, 1, -
ROR_30, 1, -
ROR_31, 1, -
ROR_32, 1, -
ROR_33, 1, -
ROR_34, 0, [VVVVVV=1;VVVVVVVVVVVV=0;VV=0;V=1;VVVVVVVVV=1;VVVVVVVV=0;VVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=-552;VVVVVVVVVVVVVVVVVV=428;VVVVVVVVVVVVVVVVVVV=-44]
ROR_35, 1, -
ROR_36, 1, -
ROR_37, 1, -
ROR_38, 1, -
ROR_39, 1, -
ROR_40, 1, -
ROR_41, 1, -
ROR_42, 0, [VVVVVV=1;VVVVVVVVVVVV=0;VV=0;V=1;VVVVVVVVV=1;VVVVVVVV=0;VVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=445;VVVVVVVVVVVVVVVVVVV=-1019]
ROR_43, 1, -
ROR_44, 1, -
ROR_45, 1, -
ROR_46, 1, -
ROR_47, 1, -
ROR_48, 1, -
ROR_49, 0, [VVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVV=999;VVVVVVVVVVV=0;VVVVVVVVVVVVV=0;VVVVVVVVVV=1;VVVVVVVVV=1;VVVVVVV=1;VVVVVV=1;VV=1;VVVVVVVV=0;VVVVVVVVVVVVVVVVVVVV=-300;VVVVVVVVVVVVVVVVVV=-1320;VVVVVVVVVVVVVVVVVVV=-724;VVVVVVVVVVVVVVVV=3608]
ROR_50, 1, -
ROR_51, 1, -
ROR_52, 1, -
ROR_53, 1, -
ROR_54, 1, -
ROR_55, 1, -
ROR_56, 0, [VVVVVVVVV=1;VVVVVVVVVVVV=0;VVVVVVV=1;VVV=1;VVVVVV=0;VVVVV=1;VV=1;V=1;VVVVVVVV=0;VVVVVVVVVVVVVVVVVVVV=-1024;VVVVVVVVVVVVVVVVVV=-976;VVVVVVVVVVVVVVVVVVV=0]
ROR_57, 1, -
ROR_58, 1, -
ROR_59, 1, -
ROR_60, 1, -
ROR_61, 1, -
ROR_62, 1, -
ROR_63, 1, -
ROR_64, 1, -
ROR_65, 0, [VVVVVVVVVVVV=0;VVVVVVVVV=1;VVVVVVV=1;VVVVVVVV=0;VVVV=0;VVVVVV=0;VVVVVVVVVVVVVVVVVVVV=-1024;VV=0;VVVVV=0;VVVVVVVVVVVVVVVVVVV=-1;V=-1024;VVVVVVVVVVVVVVVVVV=-733]
