Mutant,test16,test38,test15,test37,test14,test36,test13,test35,test12,test34,test11,test33,test10,test32,test31,test19,test18,test17,test39,test30,test05,test27,test04,test26,test03,test25,test02,test24,test01,test23,test00,test22,test21,test43,test20,test42,test09,test08,test07,test29,test06,test28,test41,test40,Total,Equiv?
ROR_66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_112, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
AOIS_65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_63, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,2, 
AOIS_132, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
AOIS_131, , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,2, 
ROR_138, , , , ,1, , , ,1, , ,1, , ,1,1, , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , ,8, 
ODL_98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_114, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
SDL_117, , , , ,1, , , ,1, , ,1, , ,1, , , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , ,7, 
SDL_116, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , ,3, 
ODL_16, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
SDL_118, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
