Mutant,test12,test05,test04,test03,test02,test01,test00,test11,test10,test09,test08,test07,test06,Total,Equiv?
AOIS_85, ,1, , , , , , , , ,1, , ,2, 
AOIS_84, ,1, , , , , , , , ,1,1, ,3, 
AOIS_112, ,1, , , , , , , , ,1, , ,2, 
AOIS_111, , , , , , , , , , , , , ,0, 
AOIS_83, , , , , , , , , , , ,1, ,1, 
AOIS_110,1,1,1,1,1,1,1,1,1,1,1,1,1,13, 
ROR_80, , , , , , , , , , , , , ,0, 
AOIU_21, , , , , , , , , , , , , ,0, 
ROR_113, , , , , , , , , , , , , ,0, 
AOIS_119, , , , , , , , , , , , , ,0, 
AOIU_23, ,1, , , , , , , , ,1,1, ,3, 
ROR_115, , , , , , , , , , , , , ,0, 
AOIU_24, ,1, , , , , , , , ,1, , ,2, 
AOIU_25, , , , , , , , , , , , , ,0, 
AOIU_26, ,1, , , , , , , , ,1, , ,2, 
ROR_110, ,1, , , , , , , , , , , ,1, 
SDL_3, , , , , ,1,1, ,1,1, , , ,4, 
ROR_76, , , , , , , , , , , , , ,0, 
ROR_75, , , , , , , , , , , , , ,0, 
AOIS_78, ,1, , , , , , , , ,1, , ,2, 
ROR_72, , , , , , , , , , , , , ,0, 
AOIS_77, , , , , , , , , , , , , ,0, 
AOIS_76, , , , , , , , , , , , , ,0, 
AOIS_75, ,1, , , , , , , , , , , ,1, 
ROR_74, , , , , , , , , , , , , ,0, 
ROR_73, , , , , , , , , , , , , ,0, 
AOIS_124, , , , , , , , , , , , , ,0, 
LOI_19, , , , , , , , , , , ,1, ,1, 
AOIS_122, ,1, , , , , , , , , , , ,1, 
AOIS_121, ,1, , , , , , , , , , , ,1, 
ROR_70, , , , , , , , , , , , , ,0, 
AOIS_70, ,1, , , , , , , , , , , ,1, 
LOI_25, ,1, , , , , , , , , , , ,1, 
LOI_26, ,1, , , , , , , , , , , ,1, 
LOI_27, , , , , , , , , , , , , ,0, 
LOI_28, , , , , , , , , , , , , ,0, 
AOIU_10, , , , , , , , ,1,1, , , ,2, 
AOIU_11, , , , , , , , ,1,1, , , ,2, 
LOI_22, , , , , , , , , , , ,1, ,1, 
LOI_23, , , , , , , , , , , , , ,0, 
AOIU_12, , , , , , , , , ,1, , , ,1, 
AOIS_129, , , , , , , , , , , , , ,0, 
AOIU_13, , , , , , , , ,1, , , , ,1, 
LOI_24, , , , , , , , , , , , , ,0, 
AOIU_14, , , , , , , , ,1,1, , , ,2, 
AOIU_15, , , , , , , , , , , , ,1,1, 
AOIU_16, , , , , , , , , , , , , ,0, 
AOIU_17, , , , , , , , , , , , ,1,1, 
AOIU_19, , , , , , , , , , , , , ,0, 
ROR_69, , , , , , , , , , , , , ,0, 
ROR_65, , , , , , , , , , , , , ,0, 
ROR_64, , , , , , , , , , , , , ,0, 
AOIS_68, , , , , , , , , , , , , ,0, 
AOIS_67, ,1, , , , , , , , ,1, , ,2, 
ROR_66, , , , , , , , , , , ,1,1,2, 
AOIS_66, , , , , , , , , , , ,1, ,1, 
ROR_61, , , , , , , , , , , , , ,0, 
ROR_60, ,1, ,1, , , , , , ,1,1,1,5, 
ROR_63, , , , , , , , , , , ,1, ,1, 
ROR_62, , , , , , , , , , , ,1, ,1, 
AOIS_132, , , , , , , , , , , , , ,0, 
LOI_15, , , , , , , , ,1,1, , , ,2, 
LOI_16, , , , , , , , , ,1, , , ,1, 
LOI_10, , , , , , , , ,1,1, , , ,2, 
LOI_11, , , , , , , , , ,1, , , ,1, 
LOI_12, , , , , , , , ,1,1, , , ,2, 
LOI_13, , , , , , , , , , , , , ,0, 
