Program Name;Mutant Name;Result;Status;Operator;Program Graph Node;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement;PS;OS;pageRank;hub;authority
Triangle;LOI_85;Nonequivalent;Nonequivalent;LOI;18;0;1;0;1;0;[8, 9, 9, 10, 9, 10, 10, 11];8;11;9.5;[0];0;0;0.0;[17];[];[1];[];53;If;1.0;1.0;0.033;0.0;0.0
Triangle;AOIS_432;Nonequivalent;Nonequivalent;AOIS;16;0;1;0;1;0;[10, 11, 11, 12, 11, 12, 12, 13];10;13;11.5;[0];0;0;0.0;[14];[];[1];[];113;If;1.0;0.6328125;0.026;0.0;0.083
Triangle;ROR_302;Nonequivalent;Nonequivalent;ROR;18;0;1;0;1;0;[8, 9, 9, 10, 9, 10, 10, 11];8;11;9.5;[0];0;0;0.0;[17];[];[1];[];53;If;1.0;0.9243697478991597;0.033;0.0;0.0
Triangle;AORB_184;Nonequivalent;Nonequivalent;AORB;4;0;1;1;1;0;[1, 2, 3];1;3;2.0;[0];0;0;0.0;[1, 2, 3];[];[1, 1, 1];[];52;Assignment;0.86;0.9444444444444444;0.038;0.0;0.25
Triangle;AOIS_279;Nonequivalent;Nonequivalent;AOIS;1;0;1;1;1;0;[0];0;0;0.0;[11, 12, 12, 12, 13, 13, 11, 12, 13, 13, 13, 14, 14, 12, 10, 8, 10, 10, 9, 8, 12, 13, 13, 13, 14, 14, 12, 13, 14, 14, 14, 15, 15, 13, 11, 9, 11, 11, 10, 9, 12, 13, 13, 13, 14, 14, 12, 13, 14, 14, 14, 15, 15, 13, 11, 9, 11, 11, 10, 9, 13, 14, 14, 14, 15, 15, 13, 14, 15, 15, 15, 16, 16, 14, 12, 10, 12, 12, 11, 10, 12, 13, 13, 13, 14, 14, 12, 13, 14, 14, 14, 15, 15, 13, 11, 9, 11, 11, 10, 9, 13, 14, 14, 14, 15, 15, 13, 14, 15, 15, 15, 16, 16, 14, 12, 10, 12, 12, 11, 10, 13, 14, 14, 14, 15, 15, 13, 14, 15, 15, 15, 16, 16, 14, 12, 10, 12, 12, 11, 10, 14, 15, 15, 15, 16, 16, 14, 15, 16, 16, 16, 17, 17, 15, 13, 11, 13, 13, 12, 11, 3, 2, 1];1;17;12.797546012269938;[];[2, 4];[];[1, 1];36;If;1.0;0.6328125;0.014;0.167;0.0
Triangle;ROR_38;Nonequivalent;Nonequivalent;ROR;9;0;0;0;0;0;[5, 6, 6, 7];5;7;6.0;[6, 7, 7, 7, 8, 8, 6, 7, 8, 8, 8, 9, 9, 7, 5, 3, 5, 5, 4, 3, 7, 8, 8, 8, 9, 9, 7, 8, 9, 9, 9, 10, 10, 8, 6, 4, 6, 6, 5, 4];3;10;7.0;[7, 8];[11, 10];[1, 1];[0, 0];8;If;1.0;0.9243697478991597;0.061;0.0;0.0
Triangle;AORB_409;Nonequivalent;Nonequivalent;AORB;6;0;1;1;1;0;[4];4;4;4.0;[8, 9, 9, 9, 10, 10, 8, 9, 10, 10, 10, 11, 11, 9, 7, 5, 7, 7, 6, 5, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 10, 11, 11, 11, 12, 12, 10, 11, 12, 12, 12, 13, 13, 11, 9, 7, 9, 9, 8, 7];5;13;9.5;[5];[7];[1];[1];127;If;0.6666666666666666;0.9444444444444444;0.024;0.0;0.0
Triangle;AORB_235;Nonequivalent;Nonequivalent;AORB;18;0;1;0;1;0;[8, 9, 9, 10, 9, 10, 10, 11];8;11;9.5;[0];0;0;0.0;[17];[];[1];[];53;If;1.0;0.9444444444444444;0.033;0.0;0.0
Triangle;ROR_230;Nonequivalent;Nonequivalent;ROR;1;0;1;1;1;0;[0];0;0;0.0;[11, 12, 12, 12, 13, 13, 11, 12, 13, 13, 13, 14, 14, 12, 10, 8, 10, 10, 9, 8, 12, 13, 13, 13, 14, 14, 12, 13, 14, 14, 14, 15, 15, 13, 11, 9, 11, 11, 10, 9, 12, 13, 13, 13, 14, 14, 12, 13, 14, 14, 14, 15, 15, 13, 11, 9, 11, 11, 10, 9, 13, 14, 14, 14, 15, 15, 13, 14, 15, 15, 15, 16, 16, 14, 12, 10, 12, 12, 11, 10, 12, 13, 13, 13, 14, 14, 12, 13, 14, 14, 14, 15, 15, 13, 11, 9, 11, 11, 10, 9, 13, 14, 14, 14, 15, 15, 13, 14, 15, 15, 15, 16, 16, 14, 12, 10, 12, 12, 11, 10, 13, 14, 14, 14, 15, 15, 13, 14, 15, 15, 15, 16, 16, 14, 12, 10, 12, 12, 11, 10, 14, 15, 15, 15, 16, 16, 14, 15, 16, 16, 16, 17, 17, 15, 13, 11, 13, 13, 12, 11, 3, 2, 1];1;17;12.797546012269938;[];[2, 4];[];[1, 1];36;If;1.0;0.9243697478991597;0.014;0.167;0.0
Triangle;LOI_100;Nonequivalent;Nonequivalent;LOI;6;0;1;1;1;0;[4];4;4;4.0;[8, 9, 9, 9, 10, 10, 8, 9, 10, 10, 10, 11, 11, 9, 7, 5, 7, 7, 6, 5, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 10, 11, 11, 11, 12, 12, 10, 11, 12, 12, 12, 13, 13, 11, 9, 7, 9, 9, 8, 7];5;13;9.5;[5];[7];[1];[1];127;If;0.6666666666666666;1.0;0.024;0.0;0.0
